Postcode,HealthBoard
AB1 0AA,S08000020
AB1 0AB,S08000020
AB1 0AD,S08000020
AB1 0AE,S08000020
AB1 0AJ,S08000020
AB1 0AL,S08000020
AB1 0AP,S08000020
AB1 0AQ,S08000020
AB1 0AR,S08000020
AB1 0AS,S08000020
AB1 0AT,S08000020
AB1 0AX,S08000020
AB1 0BA,S08000020
AB1 0BB,S08000020
AB1 0BD,S08000020
AB1 0BE,S08000020
AB1 0BJ,S08000020
AB1 0BL,S08000020
AB1 0BN,S08000020
AB1 0BP,S08000020
AB1 0BQ,S08000020
AB1 0BR,S08000020
AB1 0BS,S08000020
AB1 0BT,S08000020
AB1 0BX,S08000020
AB1 0BY,S08000020
AB1 0BZ,S08000020
AB1 0DA,S08000020
AB1 0DB,S08000020
AB1 0DD,S08000020
AB1 0DJ,S08000020
AB1 0DL,S08000020
AB1 0DN,S08000020
AB1 0DP,S08000020
AB1 0DQ,S08000020
AB1 0DR,S08000020
AB1 0DS,S08000020
AB1 0DT,S08000020
AB1 0DU,S08000020
AB1 0DX,S08000020
AB1 0DY,S08000020
AB1 0EA,S08000020
AB1 0EB,S08000020
AB1 0ED,S08000020
AB1 0EE,S08000020
AB1 0EF,S08000020
AB1 0EH,S08000020
AB1 0EJ,S08000020
AB1 0EL,S08000020
AB1 0EN,S08000020
AB1 0EP,S08000020
AB1 0EQ,S08000020
AB1 0ER,S08000020
AB1 0ES,S08000020
AB1 0ET,S08000020
AB1 0EU,S08000020
AB1 0EW,S08000020
AB1 0EX,S08000020
AB1 0HA,S08000020
AB1 0HB,S08000020
AB1 0HD,S08000020
AB1 0HJ,S08000020
AB1 0HL,S08000020
AB1 0HN,S08000020
AB1 0HP,S08000020
AB1 0HQ,S08000020
AB1 0HS,S08000020
AB1 0HT,S08000020
AB1 0HU,S08000020
AB1 0HX,S08000020
AB1 0JA,S08000020
AB1 0JB,S08000020
AB1 0JD,S08000020
AB1 0JE,S08000020
AB1 0JG,S08000020
AB1 0JH,S08000020
AB1 0JJ,S08000020
AB1 0JL,S08000020
AB1 0JN,S08000020
